Name,Email,Type
U Kohouta,info@u-kohouta.cz,Restaurant
U Krbu,hospudka.ukrbu@seznam.cz,Restaurant
U Kuděje,giacintov@seznam.cz,Restaurant
U Madony,umadony@umadony.cz,Restaurant
U Morousů,umorousu@centrum.cz,Restaurant
U Mořice,info@umorice.cz,Restaurant
U Puškaře,upuskare@upuskare.cz,Restaurant
Varna,info@varna.cz,Restaurant
Viktoria,nfo@viktoria-olomouc.cz,Restaurant
Minipivovar Riegrovka,riegrovkaolomouc@gmail.com,Brewery
Moritz - hostinský pivovar,"info@hostinec-moritz.cz,sladekmoritz@hostinec-mor",Brewery
Pivovar Chomout,hostinec@pivochomout.cz,Brewery
Pivovar Kosíř,sladek@pivovarkosir.cz,Brewery
Pivovar Litovel,navratilova@litovel.cz;minipivovar@litovel.cz,Brewery
Pivovárek Melichárek,petr.melicharek@email.cz,Brewery
Svatokopecký pivovar,sladek@svatokopeckepivo.cz,Brewery
Svatováclavský Pivovar,info@svatovaclavsky-pivovar.cz,Brewery
Beauty Cafe,beautycafeolomouc@gmail.com,Cafe
Bistrá kráva,bistrakrava@gmail.com,Cafe
Bohéma,cukrarnabohema@tiscali.cz,Cafe
Café La Fée,cafelafee@seznam.cz,Cafe
Café M,info@cafem.cz,Cafe
Café Mahler,mahler@olrestaurace.eu,Cafe
Café Na zábradlí,info@cafenazabradli.cz,Cafe
Café Restaurant Caesar,restaurant.caesar@email.cz,Cafe
Caffe Opera,info@opera-caffe.cz,Cafe
Cukrárna a kavárna Mia,kavarna.mia@seznam.cz,Cafe
Cukrárna Ollies,objednavky@ollies.cz,Cafe
Fontána cafe restaurant,info@restauracefontana.cz,Cafe
Henri Café,kava@henri.cz,Cafe
Jazz Fresh Café,cafe@jazzfreshcafe.cz,Cafe
Kavárna Amadeus,kavarna.amadeus@seznam.cz,Cafe
Kavárna Bellis,kavarna@bellisolomouc.com,Cafe
Kavárna kina Metropol,zuzana@kinometropol.cz,Cafe
Kavárna Kocourkov,info@kavarnakocourkov.cz,Cafe
Kavárna ODE,cafeode@gmail.com,Cafe
Kavárna V lese,kavarnavlese@seznam.cz,Cafe
Long Story Short Hostel&Caf;é,reception@longstoryshort.cz,Cafe
Opera,objednavky@opera-caffe.cz,Cafe
Sladký Méďa,info@sladkymeda.cz,Cafe
Čajovna Kollárka,kollarkarestaurace@seznam.cz,Teahouse
Dobrá čajovna,cajovnik@dobracajovnaol.eu,Teahouse
Kratochvíle,kratochvile.cafete@gmail.com,Teahouse
Čajovna Wabi,wabicajovna@gmail.com,Teahouse
Vinárna Kaštánek,vinotekakastanek@seznam.cz,Vinery
Vinárna U Zlatky,uzlatky@vinasveta.cz,Vinery
Vinný sklep Dobrý ročník,tunys.m@seznam.cz,Vinery
Vinotéka U tří bratří,verner.ondrej@seznam.cz,Vinery
